keystroke_id,key,keystroke_action,rhythm,dwell_time,flight_time,up_down_time,session_duration,user_id,mouse_id,mouse_action,coordinates,button,delta,distance,speed
18182.0,4,press,0.131,0.131,0.0,0.0,7.191,71,259035.0,move,"227,296",left,"1,0",1.0,0.018218255
18548.0,Backspace,press,0.053,0.053,0.0,0.0,18.374,72,264263.0,move,"362,51",left,"0,0",0.0,0.0
18946.0,Backspace,press,0.159,0.159,0.0,0.0,11.134,74,268078.0,move,"372,49",left,"0,0",0.0,0.0
20177.0,3,press,0.211,0.211,0.0,0.0,9.435,75,299039.0,move,"369,52",left,"0,0",0.0,0.0
20246.0,5,press,0.216,0.216,0.0,0.0,4.104,76,300657.0,move,"373,51",left,"0,0",0.0,0.0
20652.0,6,press,0.087,0.087,0.0,0.0,10.571,77,306836.0,move,"365,42",left,"0,0",0.0,0.0
20745.0,1,press,0.194,0.194,0.0,0.0,2.718,78,307216.0,move,"443,42",left,"0,0",0.0,0.0
20807.0,4,press,0.003,0.003,0.0,0.0,2.469,79,307801.0,move,"342,206",left,"0,0",0.0,0.0
22055.0,1,press,0.007,0.007,0.0,0.0,7.684,80,311219.0,move,"533,284",left,"0,0",0.0,0.0
22135.0,1,press,0.153,0.153,0.0,0.0,2.344,81,311255.0,move,"621,291",left,"0,0",0.0,0.0
22307.0,1,press,0.101,0.101,0.0,0.0,4.08,82,311667.0,move,"371,42",left,"0,0",0.0,0.0
22350.0,2,press,0.158,0.158,0.0,0.0,0.918,83,311898.0,move,"382,47",left,"0,0",0.0,0.0
22779.0,5,press,0.09,0.09,0.0,0.0,9.58,84,314489.0,move,"676,215",left,"0,0",0.0,0.0
22887.0,3,press,0.063,0.063,0.0,0.0,2.274,85,314897.0,move,"440,221",left,"0,0",0.0,0.0
