cluster,user_id,session_id,dwell_time_mean,dwell_time_std,dwell_time_min,dwell_time_max,flight_time_mean,flight_time_std,flight_time_min,flight_time_max,up_down_time_mean,up_down_time_std,up_down_time_min,up_down_time_max,id_count,session_duration_sec,keystrokes_per_min,dwell_to_flight_ratio,distance_mean_mean,distance_mean_std,distance_sum_total,speed_mean_mean,speed_mean_std,speed_max_max,click_count_total,click_count_mean,action_count_total,session_duration_sum,session_duration_mean,session_duration_std
0,51.47826086956522,76.1086956521739,0.09772109141337326,0.05000404160733462,0.021286956521739116,0.2871018115942029,0.25286390722501706,0.6747291947901318,0.0,3.7253684782608696,0.25381379362624207,0.6479063244535278,0.0,3.7933945652173913,65.8322463768116,273.30718623188403,109.10204555932255,0.6570785520813357,0.0,0.0,0.0,0.0,0.0,0.0,34.95652173913044,10.334782608695651,34.95652173913044,1082.1015217391305,362.61651449275365,342.176649595926
1,54.75,82.5,0.09626380610838366,0.09460748074026022,0.004,0.782125,0.23914384739480557,0.5963885222410804,0.0,5.7535,0.1953154413779508,0.5022679078949404,0.0,5.794375,556.5,1461.274375,27.062171767930675,0.4816625135416387,0.0,0.0,0.0,0.0,0.0,0.0,181.5,90.75,181.5,2937.635,1468.8175,1013.9285452713741
2,2.0,25.5,4.89414148347653,3.860709788557332,0.0243110518928571,16.881561870357142,86.54332567738582,214.36954107085617,-0.0674128791071428,738.8557271410715,43.93720723470933,144.23756384686138,-0.0674128791071428,736.6198699982143,56.42857142857143,143.92233532142856,2017.0269206763105,0.696143744140124,0.0,0.0,0.0,0.0,0.0,0.0,176.0,9.263157894736842,176.0,4180.4376,220.02303157894735,387.88801825924656
3,61.1,89.6,0.11432512875521077,0.2793598419729325,0.00533333333333332,2.248291666666667,0.19406386944809112,0.5289377664816486,0.0,4.54475,0.2123189905877151,0.544723115439019,0.0,4.625783333333333,161.4,890.922875,52.41917574325596,0.6787812428916475,0.0,0.0,0.0,0.0,0.0,0.0,59.0,23.883333333333333,59.0,2420.9777999999997,992.8410666666666,888.1785589021254
