user_id,session_id,distance_mean,distance_std,distance_sum,speed_mean,speed_std,event_count,idle_mean,idle_std,idle_max,session_duration_sec
2.0,0,0.0,0.0,0.0,0.0,0.0,18,16.579235294117645,51.687673452586125,215.782,281.847
2.0,1,0.0,0.0,0.0,0.0,0.0,5,168.4178,353.1319403759733,799.973,42.116
2.0,2,0.0,,0.0,0.0,,1,609.1414,,609.1414,0.0
2.0,3,0.0,0.0,0.0,0.0,0.0,5,120.25632,227.52268321381058,526.5936,74.688
2.0,4,0.0,0.0,0.0,0.0,0.0,10,59.345299999999995,139.9130255901461,454.465,138.988
2.0,5,0.0,0.0,0.0,0.0,0.0,15,2891.703666666667,11172.475645031956,43277.755,97.8
2.0,6,0.0,0.0,0.0,0.0,0.0,20,174.301,753.3454608935712,3374.572,111.448
2.0,7,0.0,0.0,0.0,0.0,0.0,18,64.18361111111112,230.44095739208566,985.317,169.988
2.0,8,0.0,0.0,0.0,0.0,0.0,13,46.53384615384615,117.51913647561558,431.799,173.141
2.0,9,0.0,0.0,0.0,0.0,0.0,12,74.85283333333332,212.2673102845189,747.276,150.958
2.0,10,0.0,0.0,0.0,0.0,0.0,7,59.76085714285714,140.90642336603935,378.683,39.643
2.0,11,0.0,0.0,0.0,0.0,0.0,6,104.74000000000001,226.5419640790642,566.94,61.5
2.0,12,0.0,0.0,0.0,0.0,0.0,8,150.333375,407.263662953458,1158.165,44.502
2.0,13,0.0,0.0,0.0,0.0,0.0,12,93.32566666666668,303.6271176897842,1057.343,62.565
2.0,14,0.0,,0.0,0.0,,1,650.229,,650.229,0.0
2.0,15,0.0,0.0,0.0,0.0,0.0,8,208.63075,502.098606254574,1444.005,225.041
2.0,16,0.0,0.0,0.0,0.0,0.0,4,222.704,409.5138713605031,836.576,54.24
2.0,17,0.0,0.0,0.0,0.0,0.0,3,24289.98066666667,42063.636174337495,72860.884,9.058
2.0,18,0.0,,0.0,0.0,,1,1899514.257,,1899514.257,0.0
2.0,19,0.0,,0.0,0.0,,1,98007.723,,98007.723,0.0
2.0,20,0.0,,0.0,0.0,,1,3221.095,,3221.095,0.0
2.0,21,0.0,0.0,0.0,0.0,0.0,3,527.258,889.584619830514,1554.441,27.333
2.0,22,0.0,0.0,0.0,0.0,0.0,2,1457.9565,2000.579739351696,2872.58,43.333
2.0,23,0.0,0.0,0.0,0.0,0.0,2,1979.281,2779.655141620629,3944.794,13.768
4.0,23,0.0,0.0,0.0,0.0,0.0,5,11.275,6.973136071142357,21.733,45.1
19.0,23,0.0,,0.0,0.0,,1,,,,0.0
19.0,24,0.0,0.0,0.0,0.0,0.0,3,450.18766666666664,764.0925086835581,1332.485,18.078
19.0,25,0.0,0.0,0.0,0.0,0.0,55,1248.0351272727273,9235.1634339625,68492.563,149.369
19.0,26,0.0,0.0,0.0,0.0,0.0,4,551.58475,1097.147316105537,2197.296,9.043
19.0,27,0.0,0.0,0.0,0.0,0.0,14,39182.67285714286,146597.27274565614,548519.672,37.748
19.0,28,0.0,0.0,0.0,0.0,0.0,5,550464.9970000001,1230828.870379334,2752238.615,86.37
21.0,28,0.0,0.0,0.0,0.0,0.0,3,10.899,13.843736562070227,20.688,21.798
24.0,28,0.0,0.0,0.0,0.0,0.0,5,3.55525,3.0286072018889034,6.773,14.221
24.0,29,0.0,0.0,0.0,0.0,0.0,24,46390.555916666664,227258.17279187113,1113334.802,38.54
24.0,30,0.0,0.0,0.0,0.0,0.0,3,123224.626,213415.6786268658,369655.825,18.053
25.0,30,0.0,0.0,0.0,0.0,0.0,48,5.090595744680852,25.42055969576729,175.026,239.258
25.0,31,0.0,,0.0,0.0,,1,64461.113,,64461.113,0.0
25.0,32,0.0,0.0,0.0,0.0,0.0,5,4009.7434000000003,8912.586193967652,19952.947,95.77
25.0,33,0.0,0.0,0.0,0.0,0.0,3,845.3786666666666,1418.5361996947183,2483.101,53.035
25.0,34,0.0,,0.0,0.0,,1,1325.36,,1325.36,0.0
26.0,34,0.0,0.0,0.0,0.0,0.0,4,2.702666666666667,3.21128826693172,6.398,8.108
27.0,34,0.0,0.0,0.0,0.0,0.0,2,6.868,,6.868,6.868
31.0,34,0.0,0.0,0.0,0.0,0.0,3,3.3,0.3775950211536164,3.567,6.6
32.0,34,0.0,0.0,0.0,0.0,0.0,2,8.323,,8.323,8.323
33.0,34,0.0,0.0,0.0,0.0,0.0,5,94.22925000000001,41.030967950033386,147.649,376.917
33.0,35,0.0,0.0,0.0,0.0,0.0,6,84.98100000000001,153.5464474444134,395.089,114.797
33.0,36,0.0,0.0,0.0,0.0,0.0,8,108.003125,195.3145652336525,585.583,278.442
33.0,37,0.0,,0.0,0.0,,1,762.427,,762.427,0.0
33.0,38,0.0,0.0,0.0,0.0,0.0,2,1110.7289999999998,1404.639336555829,2103.959,117.499
33.0,39,0.0,0.0,0.0,0.0,0.0,5,838.9482,1723.7894733939236,3918.235,276.506
33.0,40,0.0,0.0,0.0,0.0,0.0,2,205.943,281.5868908312317,405.055,6.831
34.0,40,0.0,,0.0,0.0,,1,,,,0.0
34.0,41,0.0,0.0,0.0,0.0,0.0,12,64.89825,107.96134224057407,339.399,439.38
34.0,42,0.0,0.0,0.0,0.0,0.0,4,244.79175,262.5480631686003,622.004,357.163
34.0,43,0.0,0.0,0.0,0.0,0.0,2,217.4485,280.5934058036646,415.858,19.039
35.0,43,0.0,0.0,0.0,0.0,0.0,66,16.8144,34.878810785884035,222.017,1092.936
36.0,43,0.0,0.0,0.0,0.0,0.0,43,5.317690476190476,11.171426826546496,65.271,223.343
36.0,44,0.0,0.0,0.0,0.0,0.0,26,45.6375,140.19759489613224,729.183,457.392
36.0,45,0.0,0.0,0.0,0.0,0.0,27,40.318296296296296,111.55232903571958,584.731,503.863
36.0,46,0.0,0.0,0.0,0.0,0.0,2,678.802,951.3810613881275,1351.53,6.074
37.0,46,0.0,0.0,0.0,0.0,0.0,9,23.945375,21.676786246631277,57.241,191.563
37.0,47,0.0,,0.0,0.0,,1,1810.183,,1810.183,0.0
38.0,47,0.0,0.0,0.0,0.0,0.0,20,43.77121052631579,37.761339566309154,140.081,831.653
38.0,48,0.0,0.0,0.0,0.0,0.0,16,113.8239375,160.04038569538992,639.921,1181.262
39.0,48,0.0,0.0,0.0,0.0,0.0,181,5.801627777777777,9.165581732936252,76.09,1044.293
39.0,49,0.0,0.0,0.0,0.0,0.0,49,424.76040816326537,2844.1669451163693,19926.848,886.412
40.0,49,0.0,0.0,0.0,0.0,0.0,52,18.946098039215684,37.256902950328495,192.096,966.251
41.0,49,0.0,0.0,0.0,0.0,0.0,6,77.9356,58.20007751970782,172.064,389.678
41.0,50,0.0,0.0,0.0,0.0,0.0,10,117.50810000000001,170.7666187406075,568.783,606.298
41.0,51,0.0,0.0,0.0,0.0,0.0,19,87.92363157894737,135.2647467430736,545.433,1125.116
42.0,51,0.0,0.0,0.0,0.0,0.0,18,72.36317647058823,79.17582716511026,277.8,1230.174
42.0,52,0.0,0.0,0.0,0.0,0.0,17,126.55482352941175,297.4828210332563,1235.577,915.855
42.0,53,0.0,0.0,0.0,0.0,0.0,2,1202.6345,1660.724421323568,2376.944,28.325
43.0,53,0.0,0.0,0.0,0.0,0.0,3,107.2525,129.86511011237775,199.081,214.505
43.0,54,0.0,0.0,0.0,0.0,0.0,17,48.36123529411765,148.4313570137428,605.548,216.593
43.0,55,0.0,0.0,0.0,0.0,0.0,14,105.00414285714285,307.5653496380533,1162.002,308.056
43.0,56,0.0,0.0,0.0,0.0,0.0,10,118.633,218.0803315360853,686.615,499.715
43.0,57,0.0,0.0,0.0,0.0,0.0,20,3362.5734,15001.19263680429,67095.569,155.899
43.0,58,0.0,0.0,0.0,0.0,0.0,5,162.385,163.03908867047804,362.626,449.299
44.0,58,0.0,0.0,0.0,0.0,0.0,8,28.684571428571427,73.68423782568685,195.784,200.792
44.0,59,0.0,,0.0,0.0,,1,648.24,,648.24,0.0
44.0,60,0.0,,0.0,0.0,,1,936.769,,936.769,0.0
