user_id,session_id,dwell_time_mean,dwell_time_std,dwell_time_min,dwell_time_max,flight_time_mean,flight_time_std,flight_time_min,flight_time_max,up_down_time_mean,up_down_time_std,up_down_time_min,up_down_time_max,id_count,session_duration_sec,keystrokes_per_min,dwell_to_flight_ratio,distance_mean_mean,distance_mean_std,distance_sum_total,speed_mean_mean,speed_mean_std,speed_max_max,click_count_total,click_count_mean,action_count_total,session_duration_sum,session_duration_mean,session_duration_std,cluster
2.0,25.5,4.89414148347653,3.860709788557332,0.0243110518928571,16.881561870357142,86.54332567738582,214.36954107085617,-0.0674128791071428,738.8557271410715,43.93720723470933,144.23756384686138,-0.0674128791071428,736.6198699982143,56.42857142857143,143.92233532142856,2017.0269206763105,0.696143744140124,0.0,0.0,0.0,0.0,0.0,0.0,176,9.263157894736842,176,4180.4376,220.02303157894735,387.88801825924656,2
19.0,41.5,0.1218139071227606,0.0991407154745174,0.0144999999999999,0.6078333333333333,0.1812182702101357,0.5274313323061804,0.0,4.098166666666667,0.17216772616474,0.5287352115897043,0.0,4.274666666666667,118.33333333333331,49.544,238.2424459289601,0.8965384244339233,0.0,0.0,0.0,0.0,0.0,0.0,82,13.666666666666666,82,300.608,50.101333333333336,57.521326283967646,0
24.0,45.0,0.1485719163465642,0.1365339199000476,0.0,0.7050000000000001,0.2505492957746478,0.5852928805042202,0.0,3.3186666666666667,0.1461556978233034,0.3992143402860087,0.0,3.220333333333333,78.66666666666667,25.658,203.91730087335097,0.6100923258874752,0.0,0.0,0.0,0.0,0.0,0.0,32,10.666666666666666,32,70.81400000000001,23.60466666666667,13.075518816985172,0
25.0,47.5,0.148874463036963,0.2148534177154235,0.025,1.57625,0.4267963973526473,1.826047632419048,0.0,11.49175,0.2869363532301032,1.342094438744823,0.0,11.48525,67.5,123.7035,47.55138667739498,1.1006602584687313,0.0,0.0,0.0,0.0,0.0,0.0,58,11.6,58,388.063,77.6126,98.8817681567234,0
33.0,50.5,0.0844041666666666,0.0320744123038274,0.041,0.18225,0.1625208333333333,0.4033586058999515,0.0,3.147,0.1972,0.4332580995610729,0.0,3.224,49.5,596.4465,224.160303548936,0.6430212674027552,0.0,0.0,0.0,0.0,0.0,0.0,29,7.25,29,2556.719,639.17975,799.7677235732781,0
34.0,52.5,0.3726239837398374,2.3886103669578005,0.0,19.385,0.2816664818920916,0.7256412741496338,0.0,3.9935,0.3153830376940133,0.7460805751212168,0.0,4.0725,53.5,733.519,4.474795360079115,1.1051542857344552,0.0,0.0,0.0,0.0,0.0,0.0,19,9.5,19,1570.839,785.4195,9.391085160938502,3
36.0,53.5,0.128119384495012,0.1051481433177556,0.0,0.926,0.324379229966747,1.157161436781496,0.0,11.4355,0.3263964269413835,1.1721351426862068,0.0,11.558,205.5,880.2455,19.025012491684283,0.5939472460087669,0.0,0.0,0.0,0.0,0.0,0.0,98,32.666666666666664,98,1775.4030000000002,591.801,833.4585864090669,3
37.0,54.0,0.1226041666666666,0.0330328318867175,0.0,0.187,0.2536354166666666,0.5708495629976091,0.0,3.883,0.3088854166666666,0.6098050399369096,0.0,4.067,96.0,190.748,30.19690901084153,0.4833874081071091,0.0,0.0,0.0,0.0,0.0,0.0,10,5.0,10,191.563,95.7815,135.4554963244386,0
38.0,54.5,0.0876377966101694,0.0416356447226048,0.0225,0.226,0.1328192372881356,0.2215960280015706,0.0,1.107,0.1662886440677966,0.2572496373447438,0.0,1.275,109.0,1005.4465,6.80658105286617,0.6589788500924074,0.0,0.0,0.0,0.0,0.0,0.0,36,18.0,36,2012.915,1006.4575,247.21089466384765,0
39.0,55.5,0.0861501951232288,0.0845529986250537,0.0,0.8564999999999999,0.2381995665383305,0.6050878010114528,0.0,6.8105,0.2256562164427333,0.5661679008598834,0.0,6.906,743.5,961.9025,44.66230275069565,0.3717276801080521,0.0,0.0,0.0,0.0,0.0,0.0,230,115.0,230,1930.705,965.3525,111.6387257205132,1
42.0,57.0,0.0805052053209948,0.0374308734404646,0.0166666666666666,0.1643333333333333,0.1785220262193946,0.3955237309063324,0.0,2.279,0.2100831887410834,0.4201833720306107,0.0,2.372666666666667,60.333333333333336,680.5553333333334,145.7877404623797,0.5513823940381429,0.0,0.0,0.0,0.0,0.0,0.0,37,12.333333333333334,37,2174.354,724.7846666666666,623.2905894607533,0
43.0,59.5,0.0890832462931064,0.0381970018822243,0.00375,0.18,0.1579058788120986,0.5182367316881755,0.0,4.6935,0.1824987287355295,0.5203511282240012,0.0,4.7165,80.25,528.41275,9.912451582925796,0.5855251003356545,0.0,0.0,0.0,0.0,0.0,0.0,69,13.8,69,2206.693,441.3386,316.35541672350104,0
44.0,63.0,0.0546646153846153,0.012069407624197,0.0376,0.0828,0.1832684949832776,0.3946411913956608,0.0,1.6995999999999998,0.2044817614269788,0.4174133703914159,0.0,1.7662,23.6,50.4632,344.5582401424919,0.6123415353396282,0.0,0.0,0.0,0.0,0.0,0.0,16,3.2,16,245.231,49.0462,86.9836239081817,0
45.0,65.5,0.0862593457943925,0.0148833636913768,0.0635,0.123,0.1083621495327102,0.23987099208469,0.0,1.6015,0.1366775700934579,0.2777046648197125,0.0,1.6845,109.0,273.24899999999997,221.1839408928647,0.8153150401586995,0.0,0.0,0.0,0.0,0.0,0.0,47,23.5,47,546.156,273.078,386.19061118572,0
