id,action,coordinates,button,delta,distance,speed,user_id,timestamp,time_diff,session_id,x,y,delta_x,delta_y
66578.0,click,"488,290",left,"0,0",0.0,0.0,2.0,2025-03-21 14:05:31.336000+00:00,,0,488,290,0,0
66622.0,click,"524,300",left,"0,0",0.0,0.0,2.0,2025-03-21 14:05:39.932000+00:00,8.596,0,524,300,0,0
66626.0,click,"524,299",left,"0,0",0.0,0.0,2.0,2025-03-21 14:05:40.390000+00:00,0.458,0,524,299,0,0
66636.0,click,"508,288",left,"0,0",0.0,0.0,2.0,2025-03-21 14:05:40.941000+00:00,0.551,0,508,288,0,0
66674.0,click,"445,295",left,"0,0",0.0,0.0,2.0,2025-03-21 14:05:43.406000+00:00,2.465,0,445,295,0,0
66685.0,click,"459,294",left,"0,0",0.0,0.0,2.0,2025-03-21 14:05:44.360000+00:00,0.954,0,459,294,0,0
66804.0,click,"532,286",left,"0,0",0.0,0.0,2.0,2025-03-21 14:06:08.455000+00:00,24.095,0,532,286,0,0
66819.0,click,"521,295",left,"0,0",0.0,0.0,2.0,2025-03-21 14:06:10.089000+00:00,1.634,0,521,295,0,0
67341.0,click,"476,292",left,"0,0",0.0,0.0,2.0,2025-03-21 14:09:45.871000+00:00,215.782,0,476,292,0,0
67342.0,click,"476,292",left,"0,0",0.0,0.0,2.0,2025-03-21 14:09:46.853000+00:00,0.982,0,476,292,0,0
67343.0,click,"476,292",left,"0,0",0.0,0.0,2.0,2025-03-21 14:09:47.075000+00:00,0.222,0,476,292,0,0
67412.0,click,"494,303",left,"0,0",0.0,0.0,2.0,2025-03-21 14:09:51.070000+00:00,3.995,0,494,303,0,0
67433.0,click,"467,293",left,"0,0",0.0,0.0,2.0,2025-03-21 14:09:55.400000+00:00,4.33,0,467,293,0,0
67434.0,click,"467,293",left,"0,0",0.0,0.0,2.0,2025-03-21 14:09:55.622000+00:00,0.222,0,467,293,0,0
67486.0,click,"481,279",left,"0,0",0.0,0.0,2.0,2025-03-21 14:10:01.176000+00:00,5.554,0,481,279,0,0
67522.0,click,"498,326",left,"0,0",0.0,0.0,2.0,2025-03-21 14:10:12.362000+00:00,11.186,0,498,326,0,0
67539.0,click,"472,301",left,"0,0",0.0,0.0,2.0,2025-03-21 14:10:12.964000+00:00,0.602,0,472,301,0,0
67542.0,click,"472,300",left,"0,0",0.0,0.0,2.0,2025-03-21 14:10:13.183000+00:00,0.219,0,472,300,0,0
67835.0,click,"500,286",left,"0,0",0.0,0.0,2.0,2025-03-21 14:23:33.156000+00:00,799.973,1,500,286,0,0
67945.0,click,"474,291",left,"0,0",0.0,0.0,2.0,2025-03-21 14:23:54.821000+00:00,21.665,1,474,291,0,0
