user_id,session_id,dwell_time_mean,dwell_time_std,dwell_time_min,dwell_time_max,flight_time_mean,flight_time_std,flight_time_min,flight_time_max,up_down_time_mean,up_down_time_std,up_down_time_min,up_down_time_max,id_count,session_duration_sec,keystrokes_per_min,dwell_to_flight_ratio
1.0,6.0,0.12712673114741108,0.1284973981618808,0.05782193446153846,0.5910844892307693,1.6401705409397433,3.8377293891328335,-0.41805574915384613,12.849920397692308,1.6401705409397433,3.8377293891328335,-0.41805574915384613,12.849920397692308,17.846153846153847,66.54087215384615,7284.680389110387,0.25306116743207213
2.0,25.5,4.89414148347653,3.860709788557332,0.024311051892857143,16.881561870357142,86.54332567738582,214.36954107085617,-0.06741287910714286,738.8557271410715,43.93720723470933,144.23756384686138,-0.06741287910714286,736.6198699982143,56.42857142857143,143.92233532142856,2017.0269206763103,0.696143744140124
4.0,39.0,0.10775510204081633,0.040501301734350105,0.0,0.17,0.10040816326530612,0.18689679843514206,0.0,0.758,0.1469387755102041,0.23596869567833792,0.0,0.928,49.0,46.605,63.08336015448987,1.0731707317073171
19.0,41.5,0.12181390712276062,0.09914071547451749,0.014499999999999999,0.6078333333333333,0.18121827021013578,0.5274313323061804,0.0,4.098166666666667,0.17216772616474005,0.5287352115897043,0.0,4.274666666666667,118.33333333333333,49.544000000000004,238.2424459289601,0.8965384244339233
21.0,44.0,0.12746031746031744,0.15669426007940773,0.0,0.82,0.275968253968254,0.46589113252242875,0.0,1.647,0.11885714285714286,0.2947516645903833,0.0,1.712,63.0,7.579,498.7465364823856,0.4618658690900724
24.0,45.0,0.14857191634656422,0.13653391990004768,0.0,0.7050000000000001,0.25054929577464785,0.5852928805042202,0.0,3.3186666666666667,0.14615569782330348,0.3992143402860087,0.0,3.220333333333333,78.66666666666667,25.657999999999998,203.91730087335097,0.6100923258874752
25.0,47.5,0.14887446303696303,0.21485341771542357,0.025,1.57625,0.42679639735264735,1.8260476324190478,0.0,11.49175,0.28693635323010325,1.342094438744823,0.0,11.48525,67.5,123.70349999999999,47.55138667739498,1.1006602584687313
26.0,49.0,0.12733333333333333,0.17321895523184783,0.0,0.796,0.8275555555555556,2.5099952626724202,0.0,12.814,0.44687301587301587,1.8132721758232961,0.0,12.683,63.0,28.247,133.81952065706093,0.15386680988184745
27.0,49.0,0.13254761904761905,0.08781582789189622,0.0,0.611,0.17361904761904762,0.5142616280332061,0.0,2.653,0.16069047619047622,0.35417258354010833,0.0,2.197,42.0,6.749,373.38865017039564,0.7634393856280857
31.0,49.0,0.08153846153846155,0.028240723459898504,0.051,0.137,0.06949999999999999,0.1467779956260474,0.0,0.689,0.10546153846153847,0.18479853479272626,0.0,0.819,26.0,7.947,196.30049075122685,1.1732152739346986
32.0,49.0,0.08373529411764706,0.04753651154389592,0.039,0.238,0.049455882352941176,0.23989011376315486,0.0,1.481,0.0736029411764706,0.25712214065517763,0.0,1.586,68.0,10.872,375.2759381898455,1.6931311329170384
33.0,50.5,0.08440416666666667,0.03207441230382742,0.041,0.18225,0.16252083333333334,0.4033586058999515,0.0,3.147,0.1972,0.4332580995610729,0.0,3.2239999999999998,49.5,596.4465,224.160303548936,0.6430212674027552
34.0,52.5,0.3726239837398374,2.3886103669578005,0.0,19.384999999999998,0.28166648189209165,0.7256412741496338,0.0,3.9935,0.3153830376940133,0.7460805751212168,0.0,4.0725,53.5,733.519,4.474795360079115,1.1051542857344552
35.0,53.0,0.11936363636363637,0.14706337533062527,0.0,0.833,0.2841090909090909,0.7241966056433231,0.0,4.728,0.19883939393939395,0.5622509972011921,0.0,4.816,330.0,1063.783,18.612818591761666,0.42013311148086524
36.0,53.5,0.12811938449501206,0.10514814331775561,0.0,0.926,0.32437922996674706,1.157161436781496,0.0,11.435500000000001,0.32639642694138354,1.1721351426862068,0.0,11.558,205.5,880.2455,19.025012491684283,0.5939472460087669
37.0,54.0,0.12260416666666667,0.0330328318867175,0.0,0.187,0.25363541666666667,0.5708495629976091,0.0,3.883,0.30888541666666663,0.6098050399369096,0.0,4.067,96.0,190.748,30.19690901084153,0.4833874081071091
38.0,54.5,0.08763779661016949,0.041635644722604885,0.0225,0.226,0.1328192372881356,0.22159602800157063,0.0,1.107,0.1662886440677966,0.2572496373447438,0.0,1.275,109.0,1005.4465,6.80658105286617,0.6589788500924074
39.0,55.5,0.08615019512322883,0.08455299862505372,0.0,0.8564999999999999,0.23819956653833058,0.6050878010114528,0.0,6.8105,0.22565621644273332,0.5661679008598834,0.0,6.906,743.5,961.9024999999999,44.66230275069565,0.3717276801080521
40.0,56.0,0.09797362637362637,0.1560370429554001,0.0,1.054,0.5973252747252747,2.231104801225486,0.0,24.32,0.43702637362637364,2.1804650908736773,0.0,24.332,455.0,971.759,28.093385294090407,0.16402056052070954
41.0,56.0,0.07293793103448276,0.026711121717109345,0.0,0.158,0.22614827586206895,0.5106756858700887,0.0,3.549,0.25578620689655174,0.5298797302490588,0.0,3.607,290.0,3226.625,5.392631619726495,0.3225226049433543
42.0,57.0,0.0805052053209948,0.03743087344046465,0.016666666666666666,0.16433333333333333,0.17852202621939464,0.39552373090633247,0.0,2.279,0.21008318874108348,0.42018337203061074,0.0,2.372666666666667,60.333333333333336,680.5553333333334,145.7877404623797,0.5513823940381429
43.0,59.5,0.08908324629310646,0.038197001882224364,0.00375,0.18,0.15790587881209867,0.5182367316881755,0.0,4.6935,0.18249872873552958,0.5203511282240012,0.0,4.7165,80.25,528.41275,9.912451582925797,0.5855251003356545
