user_id,session_id,distance_mean,distance_sum,speed_mean,speed_max,click_count,start_time,end_time,action_count,session_duration_sec
34.0,33,0.0,0.0,0.0,0.0,6,2025-05-12 12:59:21.875000+00:00,2025-05-12 13:12:33.935000+00:00,6,792.06
35.0,33,0.0,0.0,0.0,0.0,66,2025-05-12 13:43:25.647000+00:00,2025-05-12 14:01:38.583000+00:00,66,1092.936
36.0,33,0.0,0.0,0.0,0.0,43,2025-05-12 20:43:31.555000+00:00,2025-05-12 20:47:14.898000+00:00,43,223.343
36.0,34,0.0,0.0,0.0,0.0,53,2025-05-12 20:59:24.081000+00:00,2025-05-12 21:25:10.067000+00:00,53,1545.986
36.0,35,0.0,0.0,0.0,0.0,2,2025-05-12 21:47:41.597000+00:00,2025-05-12 21:47:47.671000+00:00,2,6.074
37.0,35,0.0,0.0,0.0,0.0,9,2025-05-13 07:23:57.670000+00:00,2025-05-13 07:27:09.233000+00:00,9,191.563
37.0,36,0.0,0.0,0.0,0.0,1,2025-05-13 07:57:19.416000+00:00,2025-05-13 07:57:19.416000+00:00,1,0.0
38.0,36,0.0,0.0,0.0,0.0,20,2025-05-13 07:48:23.251000+00:00,2025-05-13 08:02:14.904000+00:00,20,831.653
38.0,37,0.0,0.0,0.0,0.0,16,2025-05-13 08:12:54.825000+00:00,2025-05-13 08:32:36.087000+00:00,16,1181.262
39.0,37,0.0,0.0,0.0,0.0,181,2025-05-13 10:20:04.171000+00:00,2025-05-13 10:37:28.464000+00:00,181,1044.293
39.0,38,0.0,0.0,0.0,0.0,49,2025-05-13 16:09:35.312000+00:00,2025-05-13 16:24:21.724000+00:00,49,886.412
40.0,38,0.0,0.0,0.0,0.0,52,2025-05-13 10:58:10.632000+00:00,2025-05-13 11:14:16.883000+00:00,52,966.251
41.0,38,0.0,0.0,0.0,0.0,35,2025-05-13 11:06:18.627000+00:00,2025-05-13 12:00:13.935000+00:00,35,3235.308
42.0,38,0.0,0.0,0.0,0.0,18,2025-05-13 11:09:39.436000+00:00,2025-05-13 11:30:09.610000+00:00,18,1230.174
42.0,39,0.0,0.0,0.0,0.0,17,2025-05-13 11:50:45.187000+00:00,2025-05-13 12:06:01.042000+00:00,17,915.855
42.0,40,0.0,0.0,0.0,0.0,2,2025-05-13 12:45:37.986000+00:00,2025-05-13 12:46:06.311000+00:00,2,28.325
43.0,40,0.0,0.0,0.0,0.0,3,2025-05-13 13:04:06.871000+00:00,2025-05-13 13:07:41.376000+00:00,3,214.505
43.0,41,0.0,0.0,0.0,0.0,17,2025-05-13 13:17:46.924000+00:00,2025-05-13 13:21:23.517000+00:00,17,216.593
43.0,42,0.0,0.0,0.0,0.0,14,2025-05-13 13:40:45.519000+00:00,2025-05-13 13:45:53.575000+00:00,14,308.056
43.0,43,0.0,0.0,0.0,0.0,10,2025-05-13 13:57:20.190000+00:00,2025-05-13 14:05:39.905000+00:00,10,499.715
43.0,44,0.0,0.0,0.0,0.0,25,2025-05-14 08:43:55.474000+00:00,2025-05-14 09:00:03.298000+00:00,25,967.824
44.0,44,0.0,0.0,0.0,0.0,8,2025-05-13 13:06:29.820000+00:00,2025-05-13 13:09:50.612000+00:00,8,200.792
44.0,45,0.0,0.0,0.0,0.0,1,2025-05-13 13:20:38.852000+00:00,2025-05-13 13:20:38.852000+00:00,1,0.0
44.0,46,0.0,0.0,0.0,0.0,1,2025-05-13 13:36:15.621000+00:00,2025-05-13 13:36:15.621000+00:00,1,0.0
44.0,47,0.0,0.0,0.0,0.0,5,2025-05-13 13:58:39.296000+00:00,2025-05-13 13:59:23.735000+00:00,5,44.439
44.0,48,0.0,0.0,0.0,0.0,1,2025-05-14 08:16:44.235000+00:00,2025-05-14 08:16:44.235000+00:00,1,0.0
